,Unnamed: 0,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,on_optimal_path,subset,full_prediction,full_prior_habit,full_surprise,full_cost,full_error,full_ll,full_alpha,full_rho,full_kappa,learn_prediction,learn_ll,learn_alpha,learn_kappa,plan_prediction,plan_surprise,plan_cost,plan_error,plan_ll,plan_rho,plan_kappa,learn_rho,plan_alpha
1555,1555,55,55,13,816,2,2,2,0,True,0,0,23,True,train,0.7834507686814789,0.3643376991538291,2.166248612101163,0.3896142951606815,1.7766343169404815,-0.2440470542828246,5.0,0.8,0.9,0.18231758233223172,-1.702005154706173,30.0,0.9,0.3997845757575757,2.210420110470982,0.26926792012562045,1.941152190345362,-0.9168294375560695,0.75,0.9,0.75,30.0
1556,1556,56,56,21,837,3,3,2,1,True,0,0,23,True,train,0.5674386509510587,0.3697913341494862,2.3602504211518496,0.4185854383003003,1.9416649828515493,-0.5666226395212413,5.0,0.8,0.9,0.15103828022221205,-1.8902219628904213,30.0,0.9,0.3763854,2.2059404724124607,0.24199752227363902,1.9639429501388217,-0.9771416605460548,0.75,0.9,0.75,30.0
1557,1557,57,57,13,850,2,2,2,0,True,0,0,23,True,test,0.8112358533245776,0.3677438388888337,2.132834224548665,0.43935342022566365,1.6934808043230012,-0.20919644923658867,5.0,0.8,0.9,0.1840187671668633,-1.6927175311022529,30.0,0.9,0.4573768378378378,2.2695165201366954,0.370502558442525,1.8990139616941704,-0.7822476374210764,0.75,0.9,0.75,30.0
1558,1558,58,58,8,858,2,2,2,0,True,0,0,23,True,train,0.821528320377656,0.3733870529065025,2.214163674526088,0.45096217346043177,1.7632015010656563,-0.19658886811527188,5.0,0.8,0.9,0.18603055239809074,-1.681844358553377,30.0,0.9,0.4757453453815262,2.3317015636585228,0.4098632834413797,1.921838280217143,-0.742872556602502,0.75,0.9,0.75,30.0
1559,1559,59,59,9,867,2,2,2,0,True,0,0,23,True,train,0.8544309201385094,0.379025341702944,2.401557066556078,0.5197932776021725,1.8817637889539054,-0.15731962213033376,5.0,0.8,0.9,0.18813752424722882,-1.6705820716233037,30.0,0.9,0.5434152978072412,2.5332632858808144,0.5732513522080794,1.9600119336727349,-0.6098814303669358,0.75,0.9,0.75,30.0
1560,1560,60,60,14,881,5,3,2,3,False,0,0,23,True,train,0.2917248251503297,0.38494516940928064,2.2932401457953357,0.2986994094548099,1.9945407363405256,-0.3449225957572026,5.0,0.8,0.9,0.10040317114134521,-0.10580858396026509,30.0,0.9,0.4249448064516129,2.2149247227149247,0.29614461336555725,1.9187801093493673,-0.5532892540116111,0.75,0.9,0.75,30.0
1561,1561,61,61,20,901,2,2,2,0,True,1,3,23,True,train,0.8215630764561473,0.38355017818287857,2.369749173645776,0.42907234847602604,1.9406768251697502,-0.19654656239988255,5.0,0.8,0.9,0.19010282295310132,-1.6601901797658107,30.0,0.9,0.4577552162162162,2.3754212560035057,0.370502558442525,2.0049186975609805,-0.7814207001539044,0.75,0.9,0.75,30.0
1562,1562,62,62,17,918,3,2,2,1,False,0,0,23,True,test,0.5171587269953516,0.38885939868063335,2.4167693237361014,0.337327782056265,2.079441541679836,-0.7280673066589235,5.0,0.8,0.9,0.1530091026906254,-0.1660653313661381,30.0,0.9,0.3997845757575757,2.3487094618054565,0.2692679201256204,2.079441541679836,-0.5104666478015323,0.75,0.9,0.75,30.0
1563,1563,63,63,11,929,2,2,2,0,True,0,0,23,True,test,0.7790521241330477,0.38811649989318836,2.421816730868917,0.3423751891890809,2.079441541679836,-0.2496773237541731,5.0,0.8,0.9,0.19254723272465912,-1.6474137905478945,30.0,0.9,0.3997845757575757,2.3487094618054565,0.2692679201256204,2.079441541679836,-0.9168294375560695,0.75,0.9,0.75,30.0
1564,1564,64,64,25,954,2,2,2,0,True,0,0,23,True,train,0.8142898122793164,0.3927613825973201,2.085584693039443,0.3933402341043254,1.6922444589351178,-0.20543894160375054,5.0,0.8,0.9,0.194266173037632,-1.63852603431922,30.0,0.9,0.4249448064516128,2.2149247227149242,0.29614461336555703,1.9187801093493673,-0.8557959856638674,0.75,0.9,0.75,30.0
