,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,subset,full_prediction,full_prior_habit,full_surprise,full_cost,full_error,full_ll,full_alpha,full_rho,learn_prediction,learn_ll,learn_alpha,plan_prediction,plan_surprise,plan_cost,plan_error,plan_ll,plan_rho,learn_rho,plan_alpha
2609,9,9,16,158,4,4,4,0,True,0,0,7,train,0.8195611426682591,0.181653209789921,1.7977193836148995,1.0281352512430872,0.7695841323718122,-0.19898627385810166,4.37,0.9594736842105264,0.20609525713085225,-1.5794168038160543,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-0.1960797187583098,0.9747368421052632,0.95,1.0
2610,10,10,15,173,4,4,4,0,True,0,0,7,train,0.8384998686400242,0.20285410689104408,1.7085197828605656,0.9944143478746692,0.7141054349858964,-0.1761408543795605,4.37,0.9594736842105264,0.2448535073371938,-1.4070951765043285,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-0.1960797187583098,0.9747368421052632,0.95,1.0
2611,11,11,16,189,4,4,4,0,True,0,0,7,train,0.8542141784882071,0.22360214635430642,1.6283661900310715,0.9600627127836479,0.6683034772474238,-0.15757332215456815,4.37,0.9594736842105264,0.2810835698408157,-1.2691032522947325,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-0.1960797187583098,0.9747368421052632,0.95,1.0
2612,12,12,17,206,4,4,4,0,True,0,0,7,train,0.8673914631960941,0.24378107842481972,1.556171230973133,0.9260941991325178,0.6300770318406151,-0.14226488945995247,4.37,0.9594736842105264,0.31465153409204727,-1.1562894934703178,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-0.1960797187583098,0.9747368421052632,0.95,1.0
2613,13,13,8,214,4,4,4,0,True,0,0,7,train,0.8785541087747466,0.26331730246271196,1.4909509235129148,0.8931130128991074,0.5978379106138074,-0.12947778102092147,4.37,0.9594736842105264,0.3456273313705415,-1.062394161352399,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-0.1960797187583098,0.9747368421052632,0.95,1.0
2614,14,14,18,232,5,5,4,1,True,0,0,7,train,0.8657014619471016,0.2821686671733908,1.5630559717835677,0.9294514218643003,0.6336045499192674,-0.14421516201619364,4.37,0.9594736842105264,0.3223807843279735,-1.132021872086311,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-0.1960797187583098,0.9747368421052632,0.95,1.0
2615,15,15,12,244,4,4,4,0,True,0,0,7,train,0.8861645172713709,0.27853287723057335,1.4432108961262786,0.8676736735795273,0.5755372225467513,-0.12085266020658982,4.37,0.9594736842105264,0.3603943452410242,-1.0205564436012797,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-0.1960797187583098,0.9747368421052632,0.95,1.0
2616,16,16,9,253,2,4,4,3,False,0,0,7,test,0.5752978573439506,0.2961010365975757,2.558413244070822,1.0478561056474809,1.5105571384233412,-0.8563671965707418,4.37,0.9594736842105264,0.03148513589247469,-0.031991448697334696,1.23,0.8219467074954301,2.079441541679836,1.351774795243448,0.7276667464363884,-1.725672377407029,0.9747368421052632,0.95,1.0
2617,17,17,17,270,4,4,4,0,True,0,0,7,test,0.8915195611722634,0.28959429226673444,1.409251758378045,0.8489421243402704,0.5603096340377748,-0.11482790005509201,4.37,0.9594736842105264,0.3786233481983628,-0.9712133722765061,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-0.1960797187583098,0.9747368421052632,0.95,1.0
2618,18,18,21,291,4,4,4,0,True,0,0,7,train,0.898743911588742,0.3061007881851717,1.3613071854699412,0.8216346906789086,0.5396724947910327,-0.10675714427998824,4.37,0.9594736842105264,0.40137170870973293,-0.9128673266441164,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-0.1960797187583098,0.9747368421052632,0.95,1.0
