id,trials,optimal_path,highest_reward_path,number_max_rewards,in_optimal_path
15,82,2,"[2, 3]",1,True
15,83,2,[2],1,True
15,84,3,"[0, 1, 2, 3]",1,True
15,85,3,"[2, 3]",2,True
15,86,1,"[0, 1, 2, 3]",1,True
15,87,5,"[0, 1]",2,False
15,88,3,"[0, 1, 2, 3]",1,True
15,89,3,"[0, 1, 2, 3]",2,True
15,90,3,"[2, 3]",1,True
15,91,1,[1],1,True
15,92,5,"[0, 1, 2, 3, 5]",5,True
15,93,3,"[0, 1, 2, 3]",1,True
15,94,5,[5],1,True
15,95,2,[2],1,True
15,96,1,"[0, 1]",1,True
15,97,3,"[0, 3]",2,True
15,98,3,"[0, 1, 2, 3]",1,True
15,99,1,"[0, 1]",2,True
16,0,4,[4],1,True
16,1,4,"[4, 5]",2,True
16,2,4,"[2, 4, 5]",2,True
16,3,4,[4],1,True
16,4,4,"[3, 4, 5]",3,True
16,5,6,"[1, 3, 4, 5, 6, 7]",4,True
16,6,6,"[2, 3, 6, 7]",2,True
16,7,4,"[4, 5]",2,True
16,8,5,"[4, 5]",1,True
16,9,1,"[0, 1, 2, 3]",2,True
