,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,on_optimal_path
375,75,75,13,1228,5,5,5,0,True,0,0,12,True
376,76,76,10,1238,3,1,5,3,False,0,0,12,True
377,77,77,9,1247,5,5,5,0,True,0,0,12,True
378,78,78,20,1267,2,4,5,3,False,0,0,12,True
379,79,79,19,1286,5,5,5,0,True,0,0,12,True
380,80,80,19,1305,6,7,5,2,False,0,0,12,True
381,81,81,8,1313,5,5,5,0,True,1,4,12,False
382,82,82,13,1326,4,4,5,1,True,0,0,12,True
383,83,83,19,1345,6,6,5,2,True,0,0,12,True
384,84,84,11,1356,5,5,5,0,True,0,0,12,False
385,85,85,21,1377,2,2,5,3,True,0,0,12,True
386,86,86,12,1389,4,6,5,1,False,0,0,12,True
387,87,87,21,1410,5,5,5,0,True,0,0,12,True
388,88,88,22,1432,5,5,5,0,True,0,0,12,True
389,89,89,25,1457,4,4,5,1,True,0,0,12,True
390,90,90,14,1471,5,5,5,0,True,0,0,12,True
391,91,91,19,1490,4,4,5,1,True,0,0,12,True
392,92,92,21,1511,4,4,5,1,True,0,0,12,True
393,93,93,17,1528,2,2,5,3,True,0,0,12,True
394,94,94,14,1542,2,2,5,3,True,0,0,12,True
395,95,95,13,1555,5,5,5,0,True,0,0,12,True
396,96,96,13,1568,5,5,5,0,True,0,0,12,True
397,97,97,16,1584,5,5,5,0,True,0,0,12,True
398,98,98,16,1600,5,5,5,0,True,0,0,12,True
399,99,99,17,1617,6,6,5,2,True,0,0,12,False
400,0,0,8,8,0,5,3,2,False,0,0,13,True
401,1,1,14,22,3,0,3,0,False,0,0,13,True
402,2,2,20,42,3,0,3,0,False,0,0,13,True
403,3,3,14,56,3,7,3,0,False,0,0,13,True
404,4,4,14,70,2,0,3,1,False,0,0,13,True
405,5,5,13,83,3,3,3,0,True,0,0,13,True
406,6,6,12,95,3,7,3,0,False,0,0,13,True
407,7,7,19,114,4,4,3,3,True,0,0,13,True
408,8,8,19,133,3,3,3,0,True,0,0,13,True
409,9,9,13,146,2,5,3,1,False,0,0,13,True
410,10,10,21,167,3,0,3,0,False,0,0,13,True
411,11,11,13,180,1,2,3,2,False,0,0,13,True
412,12,12,20,200,0,0,3,2,True,0,0,13,True
413,13,13,18,218,3,7,3,0,False,0,0,13,True
414,14,14,14,232,2,2,3,1,True,0,0,13,True
415,15,15,17,249,0,0,3,2,True,0,0,13,True
416,16,16,20,269,3,3,3,0,True,0,0,13,True
417,17,17,11,280,0,5,3,2,False,0,0,13,True
418,18,18,13,293,4,4,3,3,True,0,0,13,True
419,19,19,13,306,7,0,3,3,False,0,0,13,True
