,id,rho,alpha,ll,model_type
124,4,0.9175,54.6,-0.5539674104820509,full
125,4,0.99,0.02,-0.6281787956844752,full
126,4,0.99,0.14,-0.5867567264188376,full
127,4,0.99,1.0,-0.5701607416737581,full
128,4,0.99,7.39,-0.5525408968831083,full
129,4,0.99,54.6,-0.5199142324184917,full
130,4,0.95,0.02,-1.5198717577740977,learn_only
131,4,0.95,0.14,-1.4573779291790063,learn_only
132,4,0.95,1.0,-1.3941484130195592,learn_only
133,4,0.95,7.39,-1.4360749427056418,learn_only
134,4,0.95,54.6,-1.601522669338364,learn_only
135,4,0.7,1.0,-1.2015651923365696,plan_only
136,4,0.7725,1.0,-1.0042287416038487,plan_only
137,4,0.845,1.0,-0.7977032372800774,plan_only
138,4,0.9175,1.0,-0.5864602005059085,plan_only
139,4,0.99,1.0,-0.5070604833976874,plan_only
140,5,0.7,0.02,-0.6215498319578039,full
141,5,0.7,0.14,-0.6355802511589272,full
142,5,0.7,1.0,-0.6927689548973839,full
143,5,0.7,7.39,-0.8168983765974783,full
144,5,0.7,54.6,-0.9115914427807377,full
145,5,0.7725,0.02,-0.4988212721422888,full
146,5,0.7725,0.14,-0.5049472635063158,full
147,5,0.7725,1.0,-0.5447869837422887,full
148,5,0.7725,7.39,-0.6668146676876626,full
149,5,0.7725,54.6,-0.7856362771478282,full
150,5,0.845,0.02,-0.437678323447784,full
151,5,0.845,0.14,-0.4373902087903868,full
152,5,0.845,1.0,-0.46032124814572617,full
153,5,0.845,7.39,-0.5558226207921682,full
154,5,0.845,54.6,-0.675585561951211,full
155,5,0.9175,0.02,-0.43094119331815683,full
156,5,0.9175,0.14,-0.43298866201863284,full
157,5,0.9175,1.0,-0.45878521774121833,full
158,5,0.9175,7.39,-0.5329440966838895,full
159,5,0.9175,54.6,-0.6255856409877454,full
160,5,0.99,0.02,-0.7424762677964221,full
161,5,0.99,0.14,-0.7895152214412102,full
162,5,0.99,1.0,-0.8619687031360886,full
163,5,0.99,7.39,-0.9516032292592511,full
164,5,0.99,54.6,-1.0153953807781113,full
165,5,0.95,0.02,-0.6756218566987245,learn_only
166,5,0.95,0.14,-0.670245956989026,learn_only
167,5,0.95,1.0,-0.7028173468334852,learn_only
