,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,subset,full_prediction,full_prior_habit,full_ll,full_alpha,full_rho,learn_prediction,learn_ll,learn_alpha,plan_prediction,plan_ll,plan_rho,learn_rho,plan_alpha
1643,43,43,11,688,2,2,2,0,True,0,0,24,train,0.674969279929566,0.1739174831830106,-0.3930881003607318,35.84,0.9136842105263158,0.4115567856706138,-0.887808271616277,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1644,44,44,14,702,2,2,2,0,True,0,0,24,train,0.678649875244368,0.17637325049734717,-0.38764993206729936,35.84,0.9136842105263158,0.4207093875361631,-0.8658129745481826,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1645,45,45,15,717,2,2,2,0,True,0,0,24,train,0.6822692689499926,0.17882963378631672,-0.382330876553251,35.84,0.9136842105263158,0.4295882733423275,-0.8449280328492252,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1646,46,46,14,731,2,0,2,0,False,0,0,24,train,0.6858283713638325,0.1812862008915736,-1.157815854385429,35.84,0.9136842105263158,0.4382038956453627,-0.5766162985570442,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1647,47,47,11,742,3,1,2,1,False,0,0,24,train,0.6212322862778824,0.1837425318080378,-0.9708321543489085,35.84,0.9136842105263158,0.1282243814997477,-0.13722320641883004,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1648,48,48,13,755,2,2,2,0,True,0,0,24,train,0.6897621455108052,0.18406147500626596,-0.37140845747028145,35.84,0.9136842105263158,0.4423945356424825,-0.815553180472169,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1649,49,49,25,780,3,3,2,1,True,0,0,24,train,0.6257666122653786,0.18650239706658675,-0.46877780125535423,35.84,0.9136842105263158,0.13590286739672364,-1.9958148587339868,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1650,50,50,9,789,2,1,2,0,False,0,0,24,test,0.6935677169527249,0.1867967670759416,-1.1827584842400989,35.84,0.9136842105263158,0.4462013762027925,-0.5909541532660457,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1651,51,51,19,808,2,2,2,0,True,0,0,24,train,0.6968987408127871,0.1892220126643324,-0.3611151573798944,35.84,0.9136842105263158,0.45390482212194916,-0.7898677458221299,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1652,52,52,20,828,2,6,2,0,False,0,0,24,train,0.7001746609809743,0.19164575985916055,-1.204555177141984,35.84,0.9136842105263158,0.4613973869517789,-0.6187772470601112,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1653,53,53,9,837,2,7,2,0,False,0,0,24,train,0.7033963760249264,0.19406765246554075,-1.2153586309609279,35.84,0.9136842105263158,0.4686868351586761,-0.632403667286535,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1654,54,54,18,855,2,2,2,0,True,0,0,24,train,0.7065647831135816,0.19648734541929208,-0.3473403852176511,35.84,0.9136842105263158,0.47578063285737965,-0.7427983863188173,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
